#{"t_start": 1773999538.7571719, "env_id": "highway-fast-v0"}
r,l,t
0.733333,40,81.36978
0.0,40,81.552221
1.444444,40,81.732572
0.0,40,81.913337
3.155556,40,82.096074
8.755556,40,82.275212
0.0,40,82.457916
7.423092,40,82.636981
1.355556,40,82.819433
1.4,40,82.998623
1.4,40,83.176712
10.644444,40,83.356765
9.155556,40,83.539201
3.488889,40,83.721937
3.1252,40,83.902102
2.882014,40,84.084947
7.755556,40,84.263015
5.688889,40,84.444134
2.888889,40,84.622298
0.0,40,84.80534
0.0,40,84.987679
1.355556,40,85.165292
4.822222,40,85.349949
3.488889,40,85.531647
0.0,40,85.714753
4.444444,40,85.895995
7.912153,40,86.077679
4.507001,40,86.259633
1.444444,40,86.440624
2.111111,40,86.62162
2.14189,40,86.800717
7.780476,40,86.979419
7.178569,40,87.157217
2.850027,40,87.338593
0.711111,40,87.516449
6.222222,40,87.695001
3.422222,40,87.878692
1.333333,40,88.056498
0.0,40,88.235321
0.711111,40,88.410151
4.466667,40,88.5895
6.380958,40,88.773567
3.563405,40,88.95801
3.533333,40,89.138674
12.263334,40,89.314297
2.065156,40,89.490436
2.733333,40,89.672724
5.044444,40,89.850924
2.777778,40,90.031785
8.622222,40,90.212467
0.0,40,90.391642
2.222886,40,90.573363
2.777778,40,90.754082
0.666667,40,90.936329
4.844444,40,91.117814
3.1026,40,91.298374
2.133333,40,91.476979
4.338056,40,91.660814
4.888889,40,91.839236
7.058311,40,92.02152
0.711111,40,92.204768
0.0,40,92.389367
2.8,40,92.569291
9.941023,40,92.751055
0.0,40,92.937873
3.647175,40,93.11799
0.0,40,93.297141
3.577324,40,93.479315
2.022222,40,93.660975
0.0,40,93.84053
2.177778,40,94.021667
0.688889,40,94.203762
2.899107,40,94.386725
0.0,40,94.566354
3.622222,40,94.746032
5.029074,40,95.137283
7.348472,40,95.316091
12.333333,40,95.500359
1.355556,40,95.683451
0.0,40,95.863776
6.547948,40,96.043164
2.177778,40,96.221243
3.566539,40,96.403933
0.0,40,96.588334
0.0,40,96.766999
3.574261,40,96.947946
2.111111,40,97.128403
10.014869,40,97.311411
2.968919,40,97.492931
5.533333,40,97.675019
8.360061,40,97.855563
8.959081,40,98.03383
0.0,40,98.211563
0.666667,40,98.388526
6.284815,40,98.570784
2.177778,40,98.750477
11.2,40,98.9359
1.552895,40,99.120614
5.914896,40,99.303669
7.128548,40,99.485517
3.592754,40,99.668819
6.466667,40,99.851503
0.688889,40,100.030412
5.755556,40,100.209351
3.444444,40,100.390743
0.666667,40,100.57006
1.377778,40,100.755046
2.8,40,100.9347
3.422222,40,101.114742
7.746375,40,101.297458
2.688889,40,101.474989
9.777778,40,101.656199
1.729352,40,101.83746
0.828009,40,102.019445
0.711111,40,102.195058
2.377778,40,102.37761
1.355556,40,102.56117
7.974664,40,102.740031
4.177778,40,102.921788
0.733333,40,103.10463
8.911111,40,103.287715
0.0,40,103.466535
7.904739,40,103.646189
3.822725,40,103.824588
3.6,40,104.007634
4.82686,40,104.191169
11.266667,40,104.371071
2.822222,40,104.551563
4.244444,40,104.733477
12.466667,40,104.914733
11.166399,40,105.096048
9.0,40,105.274803
12.122753,40,105.456262
1.63142,40,105.637723
0.0,40,105.847006
3.050469,40,106.026439
6.577778,40,106.207208
2.990707,40,106.388994
0.0,40,106.569757
4.26114,40,106.753929
2.733333,40,106.93351
3.4,40,107.115697
3.311111,40,107.298349
7.641477,40,107.479362
2.111111,40,107.663214
4.900167,40,107.847722
10.597132,40,108.031205
7.886522,40,108.211294
0.0,40,108.389895
3.422222,40,108.56967
0.0,40,108.752007
0.711111,40,108.935832
1.355556,40,109.116989
0.0,40,109.298499
2.214258,40,109.479431
6.288889,40,109.661205
1.500033,40,109.844628
4.572041,40,110.028858
2.177778,40,110.210353
2.733333,40,110.389699
2.822222,40,110.571206
0.688889,40,110.753071
4.760471,40,110.933207
9.044444,40,111.114647
2.151943,40,111.295913
4.222222,40,111.478496
4.719088,40,111.655813
8.466667,40,111.840126
7.769168,40,112.020536
2.219023,40,112.200974
8.585674,40,112.380953
5.133068,40,112.56013
2.355556,40,112.740185
4.993923,40,112.92091
10.555556,40,113.098594
2.866667,40,113.275273
4.213055,40,113.456016
3.782969,40,113.640345
8.333333,40,114.026195
7.079351,40,114.206272
2.848443,40,114.391843
2.981835,40,114.577436
0.733333,40,114.75592
6.435853,40,114.935155
8.338419,40,115.115884
7.777778,40,115.295572
17.062612,40,115.478255
5.704048,40,115.657693
8.325174,40,115.840413
7.533333,40,116.023674
9.106872,40,116.206219
7.222222,40,116.388235
4.977778,40,116.571243
3.466667,40,116.755017
5.037389,40,116.938478
1.422222,40,117.119216
5.400129,40,117.305048
0.744842,40,117.485734
0.0,40,117.666531
2.822222,40,117.847572
1.521593,40,118.027565
9.222222,40,118.211212
7.686188,40,118.398896
10.046687,40,118.580861
7.866667,40,118.760292
8.422222,40,118.944768
2.066667,40,119.128051
2.266404,40,119.313052
3.488889,40,119.49643
2.133333,40,119.679943
3.577778,40,119.862025
0.0,40,120.042965
0.733333,40,120.222793
8.977778,40,120.408035
0.0,40,120.591684
0.0,40,120.772822
1.466667,40,120.956974
5.340071,40,121.139761
5.666538,40,121.322839
4.288889,40,121.499309
0.733333,40,121.682619
4.955556,40,121.865466
8.066667,40,122.047598
8.555556,40,122.229739
5.555556,40,122.409024
4.177778,40,122.59057
0.688889,40,122.768885
4.311111,40,122.949897
6.192143,40,123.12916
0.688889,40,123.309204
10.920641,40,123.494341
9.022222,40,123.675495
1.333333,40,123.856945
2.2,40,124.038078
0.0,40,124.219896
7.942889,40,124.401612
2.133333,40,124.57954
2.777778,40,124.762878
4.133333,40,124.943871
7.844444,40,125.126435
9.777778,40,125.305559
1.444444,40,125.487731
1.608007,40,125.670263
4.61535,40,125.851601
0.688889,40,126.032228
2.186493,40,126.215974
2.226365,40,126.403243
4.458631,40,126.587507
4.866667,40,126.773786
7.923854,40,126.954652
2.111111,40,127.138618
1.377778,40,127.318859
12.743544,40,127.508309
15.111111,40,127.693793
0.0,40,127.875544
8.244444,40,128.05747
3.916452,40,128.242594
2.136238,40,128.424634
0.0,40,128.606832
1.466667,40,128.790695
8.719051,40,128.969536
5.555556,40,129.154309
1.446385,40,129.341762
4.830335,40,129.527928
1.444444,40,129.711628
2.434227,40,129.894075
8.911111,40,130.0771
6.311111,40,130.260639
0.0,40,130.439578
7.044444,40,130.618493
8.555556,40,130.797849
8.605449,40,130.980863
9.044444,40,131.16598
7.244444,40,131.349165
0.733333,40,131.534958
0.0,40,131.719204
6.977778,40,131.903116
3.996896,40,132.084353
0.0,40,132.265969
0.711111,40,132.444823
2.496393,40,132.845838
6.554237,40,133.032212
0.666667,40,133.219179
2.866667,40,133.40184
6.222222,40,133.584537
8.52622,40,133.765087
10.955556,40,133.94641
8.311111,40,134.127705
5.577778,40,134.308825
6.727798,40,134.492737
13.088889,40,134.674274
5.511111,40,134.858665
0.0,40,135.039267
16.755556,40,135.225067
9.583351,40,135.407146
2.866667,40,135.589186
7.920195,40,135.772276
13.868698,40,135.9532
2.755556,40,136.134879
15.328609,40,136.316706
4.979834,40,136.498139
19.405165,40,136.68019
6.177778,40,136.861073
2.866667,40,137.041206
2.133333,40,137.222552
2.755556,40,137.405288
0.0,40,137.598913
10.355556,40,137.779555
2.866667,40,137.961908
2.177778,40,138.141892
6.311111,40,138.326379
2.422222,40,138.508334
2.046562,40,138.689758
6.483763,40,138.875588
2.111111,40,139.059965
4.911111,40,139.246107
2.850032,40,139.428879
0.733333,40,139.608165
4.416864,40,139.791703
6.333333,40,139.977752
5.511111,40,140.157253
7.846934,40,140.339114
4.492867,40,140.521301
1.729019,40,140.701398
6.377778,40,140.885864
0.669614,40,141.068384
2.866977,40,141.252153
5.622222,40,141.433133
0.666667,40,141.6211
5.060838,40,141.802692
0.733333,40,141.983321
3.573212,40,142.163363
2.088889,40,142.347667
0.0,40,142.532493
